Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
1961-06-14,3.91760612208239,-1.2779552459795,-1.94939709504669,0,0.339217585301823,-999.99
1961-06-15,3.97849786901152,-1.25740444250588,-2.24761738111161,0,0.325774875695808,-999.99
1961-06-16,3.98435044614031,-1.42953817088324,-1.88502417973117,0,0.348817168145059,-999.99
1961-06-19,4.00437935326552,-0.723311326875553,-3.31074309157229,0,0.282086690771174,-999.99
1961-06-20,3.98578922376094,-0.900431978078865,-2.84480915180374,0,0.310316481404318,-999.99
1961-06-21,4.00405893580283,-0.971669207891858,-2.70909306222973,0,0.318769844089885,-999.99
1961-06-22,4.00089633898694,-0.992909310506728,-2.62024112220834,0,0.335215696965908,-999.99
1961-06-23,4.01350512021754,-1.38095545803558,-1.76408387345543,0,0.422378201242618,-999.99
1961-06-26,4.0145125672491,-1.38197641357188,-1.86785519195309,0,0.413862518007438,-999.99
1961-06-27,4.02887261543545,-1.66816565397015,-1.15589008730919,0,0.497894734914708,-999.99
1961-06-28,4.02954782216403,-1.5949560773214,-1.47730084207055,0,0.435446087931094,-999.99
1961-06-29,4.0436737356024,-1.62081286632671,-1.29352603274038,0,0.500768171917951,-999.99
1961-06-30,4.03014932657583,-1.28678479652187,-1.9466741636327,0,0.493864153178246,-999.99
1961-07-03,4.02172235360738,-1.49580967223461,-1.43988383266914,0,0.515394279691793,-999.99
1961-07-04,NA,NA,NA,NA,NA,NA
1961-07-05,4.05089145995046,-1.90313233915715,-0.207709047654987,0,0.755042098437166,-999.99
1961-07-06,4.05517765822254,-1.91188582177379,-0.474273171769896,0,0.660094795098528,-999.99
1961-07-07,4.06885397541654,-1.9141202648012,-0.719691641535405,0,0.585271104520299,-999.99
1961-07-10,4.07442456774342,-1.84737240364474,-1.22142631776559,0,0.489466443658924,-999.99
1961-07-11,4.08566773078646,-1.78393371451845,-1.44651129519087,0,0.492548550839854,-999.99
1961-07-12,4.09833681058188,-1.96266603971033,-1.21283009286977,0,0.52142641544806,-999.99
1961-07-13,4.08764264237303,-1.93054109893892,-1.28053227805511,0,0.50895931113281,-999.99
1961-07-14,4.12866149954788,-2.20454330236446,-0.37251233368112,0,0.695202051399636,-999.99
1961-07-17,4.10136321206098,-2.10039204688694,-1.14248703428789,0,0.535371451345709,-999.99
1961-07-18,4.10484255605318,-2.04687479528568,-1.37229662675748,0,0.510423893319971,-999.99
1961-07-19,4.09308269124935,-1.96876886102419,-1.62588892276671,0,0.481334157147886,-999.99
1961-07-20,4.06376380950643,-1.93602050662186,-1.61527091131544,0,0.479931901846969,-999.99
1961-07-21,4.07902011719339,-1.99118371846776,-1.25459757755796,0,0.589698149326913,-999.99
1961-07-24,4.08110521729526,-1.96250506900233,-1.49868995069388,0,0.529823804123834,-999.99
1961-07-25,4.11844628409311,-2.05064450176911,-1.29866104241795,0,0.544284792465799,-999.99
1961-07-26,4.11363055165533,-1.8494827393906,-1.78636240511073,0,0.466213988488606,-999.99
1961-07-27,4.16569382464895,-2.16306582124501,-0.928065966932025,0,0.60832391812378,-999.99
1961-07-28,4.16521961685658,-2.15185807367936,-0.980286985515134,0,0.606418650816854,-999.99
1961-07-31,4.25923508673561,-2.17360438733483,-0.990919298844254,0,0.743019987252654,-999.99
1961-08-01,4.19686986059278,-2.19899500986281,-0.670680218815857,0,0.691623757645591,-999.99
1961-08-02,4.20514649832253,-2.00386246379175,-1.48100195999625,0,0.525124857065609,-999.99
1961-08-03,4.26658660216289,-2.05507627608764,-1.54329494996399,0,0.541783338424029,-999.99
1961-08-04,4.26361007946276,-2.04018510547058,-1.46821932345619,0,0.556096566356282,-999.99
1961-08-07,4.34899927624947,-2.13161022649993,-0.740965734096005,0,0.748493773490734,-999.99
1961-08-08,4.38867096653023,-1.99344731753885,-1.21389343999663,0,0.666798210863649,-999.99
1961-08-09,4.37010249963211,-1.98067412569605,-1.27962922645992,0,0.616724971513559,-999.99
1961-08-10,4.35263853056486,-1.9511693045009,-1.0530625239325,0,0.657380044687357,-999.99
1961-08-11,4.31905382145588,-1.75114495903778,-1.42342088715204,0,0.595908437455546,-999.99
1961-08-14,4.31103353126558,-1.76668822585754,-1.27850856840219,0,0.593543182637128,-999.99
1961-08-15,4.30597297515434,-1.76708448007497,-1.25953251877681,0,0.59061648743138,-999.99
1961-08-16,4.28070712207683,-1.74353400665751,-1.27310958108265,0,0.575507559355204,-999.99
1961-08-17,4.2349499645459,-1.71391662489507,-1.12356751704104,0,0.592725770464909,-999.99
1961-08-18,4.1797435967374,-1.33494238301941,-2.07312433503517,0,0.463013578939016,-999.99
1961-08-21,4.17539473452156,-1.09426784967683,-2.4799471655575,0,0.425497622596019,-999.99
1961-08-22,4.17157832593502,-1.17220889910051,-2.28395614069249,0,0.449489638102797,-999.99
1961-08-23,4.18251216383071,-1.21495933996638,-2.24100166268651,0,0.448634762346964,-999.99
1961-08-24,4.18425645486129,-1.53752166878941,-1.58559040387654,0,0.524377186004019,-999.99
1961-08-25,4.18461137052366,-1.60855472031174,-1.42851710006475,0,0.543003764491608,-999.99
1961-08-28,4.17901157364844,-1.61533241152843,-1.38556261437032,0,0.557607257489931,-999.99
1961-08-29,4.18126528787147,-1.63767349294094,-1.26969103602528,0,0.579413448819147,-999.99
1961-08-30,4.18807028354172,-1.64352930571537,-1.33011967938121,0,0.558088626279535,-999.99
1961-08-31,4.24170459948177,-1.42780911912768,-2.12463061415995,0,0.507520848093613,-999.99
1961-09-01,4.21810457622666,-1.69304585614656,-1.35874484916256,0,0.546284163213461,-999.99
